,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
2101,GTEX-WRHU-0008-SM-4MVPB,GTEX,11.42,Cell Line,Cells,GTEX: Cell Line
2103,GTEX-ZA64-0626-SM-5HL9O,GTEX,13.57,Normal Tissue,Esophagus,GTEX: Normal Tissue
2106,GTEX-13FTW-0826-SM-5K7XR,GTEX,12.24,Normal Tissue,Heart,GTEX: Normal Tissue
2110,GTEX-ZVT4-0126-SM-51MS1,GTEX,12.1,Normal Tissue,Skin,GTEX: Normal Tissue
2111,GTEX-N7MT-0007-SM-3GACQ,GTEX,8.991,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2112,GTEX-OHPM-0426-SM-3TW8V,GTEX,13.35,Normal Tissue,Artery,GTEX: Normal Tissue
2113,GTEX-ZVT3-0011-R11b-SM-57WBI,GTEX,7.472,Normal Tissue,Brain,GTEX: Normal Tissue
2115,GTEX-U3ZN-1826-SM-4DXUY,GTEX,11.32,Normal Tissue,Esophagus,GTEX: Normal Tissue
2116,GTEX-13PVQ-1926-SM-5L3GN,GTEX,10.93,Normal Tissue,Esophagus,GTEX: Normal Tissue
2117,GTEX-148VI-0326-SM-5RQK7,GTEX,12.65,Normal Tissue,Heart,GTEX: Normal Tissue
2126,GTEX-1445S-0011-R5a-SM-5PNUS,GTEX,11.63,Normal Tissue,Brain,GTEX: Normal Tissue
2127,GTEX-11DXX-1726-SM-5H11T,GTEX,12.88,Normal Tissue,Vagina,GTEX: Normal Tissue
2129,GTEX-13CF2-2626-SM-5LZZA,GTEX,10.66,Normal Tissue,Adipose,GTEX: Normal Tissue
2136,GTEX-11DXZ-0126-SM-5EGGY,GTEX,11.22,Normal Tissue,Liver,GTEX: Normal Tissue
2141,GTEX-117YX-2126-SM-5GIEL,GTEX,9.504,Normal Tissue,Spleen,GTEX: Normal Tissue
2146,GTEX-12WS9-0326-SM-59HJV,GTEX,12.98,Normal Tissue,Skin,GTEX: Normal Tissue
2149,GTEX-PSDG-0226-SM-33HC1,GTEX,13.68,Normal Tissue,Skin,GTEX: Normal Tissue
2152,GTEX-XGQ4-0526-SM-4AT6C,GTEX,12.96,Normal Tissue,Heart,GTEX: Normal Tissue
2155,GTEX-U4B1-0326-SM-3DB8K,GTEX,12.45,Normal Tissue,Heart,GTEX: Normal Tissue
2161,GTEX-11P81-2726-SM-59876,GTEX,12.51,Normal Tissue,Artery,GTEX: Normal Tissue
2170,GTEX-1313W-3126-SM-5LZUI,GTEX,8.831,Normal Tissue,Brain,GTEX: Normal Tissue
2171,GTEX-13FTX-1526-SM-5K7VJ,GTEX,13.73,Normal Tissue,Skin,GTEX: Normal Tissue
2173,GTEX-13JVG-1126-SM-5KM2M,GTEX,12.52,Normal Tissue,Heart,GTEX: Normal Tissue
2174,GTEX-11WQC-0011-R10a-SM-57WCT,GTEX,10.16,Normal Tissue,Brain,GTEX: Normal Tissue
2175,GTEX-ZVT3-0426-SM-5GIDW,GTEX,12.39,Normal Tissue,Artery,GTEX: Normal Tissue
2176,GTEX-11NV4-2126-SM-5N9DS,GTEX,9.623,Normal Tissue,Brain,GTEX: Normal Tissue
2177,GTEX-Y8LW-1526-SM-5IFHL,GTEX,13.25,Normal Tissue,Skin,GTEX: Normal Tissue
2178,GTEX-ZVE2-0526-SM-5GU7E,GTEX,12.14,Normal Tissue,Artery,GTEX: Normal Tissue
2179,GTEX-ZLWG-0326-SM-4WWC7,GTEX,12.1,Normal Tissue,Pancreas,GTEX: Normal Tissue
2180,GTEX-XQ8I-0526-SM-4BOPS,GTEX,10.63,Normal Tissue,Adipose,GTEX: Normal Tissue
2182,GTEX-11EQ8-0126-SM-5EQ54,GTEX,11.2,Normal Tissue,Skin,GTEX: Normal Tissue
2184,GTEX-13X6I-0011-R3b-SM-5P9HM,GTEX,10.64,Normal Tissue,Brain,GTEX: Normal Tissue
2187,GTEX-QDT8-0526-SM-3NMD8,GTEX,11.07,Normal Tissue,Muscle,GTEX: Normal Tissue
2188,GTEX-11WQC-2526-SM-5CVLE,GTEX,12.93,Normal Tissue,Skin,GTEX: Normal Tissue
2189,GTEX-ZYWO-1126-SM-5U3SH,GTEX,11.54,Normal Tissue,Esophagus,GTEX: Normal Tissue
2192,GTEX-RVPU-0011-R8A-SM-2TF74,GTEX,8.738,Normal Tissue,Brain,GTEX: Normal Tissue
2197,GTEX-Y111-2826-SM-4TT3O,GTEX,8.55,Normal Tissue,Brain,GTEX: Normal Tissue
2198,GTEX-RM2N-0006-SM-2TF5H,GTEX,7.524,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2201,GTEX-Y111-0626-SM-4SOIT,GTEX,13.84,Normal Tissue,Skin,GTEX: Normal Tissue
2204,GTEX-X4XY-1626-SM-46MVN,GTEX,10.46,Normal Tissue,Liver,GTEX: Normal Tissue
2208,GTEX-13O3O-0011-R3b-SM-5KM3R,GTEX,9.696,Normal Tissue,Brain,GTEX: Normal Tissue
2209,GTEX-U3ZM-0426-SM-59HKR,GTEX,11.91,Normal Tissue,Lung,GTEX: Normal Tissue
2210,GTEX-ZE9C-0011-R9a-SM-4WWCY,GTEX,9.759,Normal Tissue,Brain,GTEX: Normal Tissue
2213,GTEX-14ABY-0005-SM-5O99U,GTEX,9.575,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2216,GTEX-WFG8-1026-SM-4LVMZ,GTEX,11.63,Normal Tissue,Esophagus,GTEX: Normal Tissue
2218,GTEX-13X6K-0011-R11a-SM-5P9F5,GTEX,9.534,Normal Tissue,Brain,GTEX: Normal Tissue
2223,GTEX-OHPJ-0726-SM-2YUNM,GTEX,13.44,Normal Tissue,Nerve,GTEX: Normal Tissue
2227,GTEX-13OVL-1526-SM-5K7WA,GTEX,13.31,Normal Tissue,Nerve,GTEX: Normal Tissue
2228,GTEX-W5WG-1826-SM-4KL2Y,GTEX,13.68,Normal Tissue,Skin,GTEX: Normal Tissue
2229,GTEX-11ZU8-1126-SM-5EQ5K,GTEX,11.48,Normal Tissue,Colon,GTEX: Normal Tissue
2231,GTEX-13PVR-0826-SM-5S2PV,GTEX,12.73,Normal Tissue,Artery,GTEX: Normal Tissue
2234,GTEX-ZYFC-1726-SM-5GZYX,GTEX,11.53,Normal Tissue,Esophagus,GTEX: Normal Tissue
2242,GTEX-144GM-0126-SM-5Q5AX,GTEX,11.13,Normal Tissue,Lung,GTEX: Normal Tissue
2244,GTEX-WFG7-1726-SM-4LVME,GTEX,12.47,Normal Tissue,Small Intestine,GTEX: Normal Tissue
2251,GTEX-1399T-0826-SM-5IFES,GTEX,12.6,Normal Tissue,Liver,GTEX: Normal Tissue
2252,GTEX-12584-0005-SM-5N9GM,GTEX,8.472,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2253,GTEX-13O3O-3126-SM-5KM3H,GTEX,8.914,Normal Tissue,Brain,GTEX: Normal Tissue
2254,GTEX-WY7C-0226-SM-3NB37,GTEX,13.01,Normal Tissue,Thyroid,GTEX: Normal Tissue
2259,GTEX-N7MS-0007-SM-2D7W1,GTEX,10.08,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2261,GTEX-13OVL-0326-SM-5IJCS,GTEX,10.89,Normal Tissue,Adipose,GTEX: Normal Tissue
2264,GTEX-117YX-1926-SM-5GIEC,GTEX,13.21,Normal Tissue,Skin,GTEX: Normal Tissue
2265,GTEX-QMRM-1226-SM-447C6,GTEX,12.05,Normal Tissue,Colon,GTEX: Normal Tissue
2266,GTEX-13W3W-2126-SM-5K7UX,GTEX,11.52,Normal Tissue,Colon,GTEX: Normal Tissue
2267,GTEX-OXRO-0126-SM-2YUN4,GTEX,12.61,Normal Tissue,Skin,GTEX: Normal Tissue
2271,GTEX-11P7K-1426-SM-5EGKY,GTEX,11.84,Normal Tissue,Esophagus,GTEX: Normal Tissue
2272,GTEX-ZT9W-1226-SM-57WE4,GTEX,11.73,Normal Tissue,Esophagus,GTEX: Normal Tissue
2273,GTEX-YEC3-1126-SM-5IFIH,GTEX,12.17,Normal Tissue,Artery,GTEX: Normal Tissue
2274,GTEX-RVPV-0011-R11A-SM-2TF6F,GTEX,8.106,Normal Tissue,Brain,GTEX: Normal Tissue
2277,GTEX-ZUA1-1026-SM-4YCEA,GTEX,11.88,Normal Tissue,Lung,GTEX: Normal Tissue
2280,GTEX-11DXX-0426-SM-5EQ5F,GTEX,12.18,Normal Tissue,Artery,GTEX: Normal Tissue
2282,GTEX-U3ZM-1226-SM-3DB9G,GTEX,10.63,Normal Tissue,Muscle,GTEX: Normal Tissue
2285,GTEX-Y5V5-0726-SM-4VBPY,GTEX,12.36,Normal Tissue,Heart,GTEX: Normal Tissue
2286,GTEX-12ZZW-1026-SM-5GCMM,GTEX,11.39,Normal Tissue,Heart,GTEX: Normal Tissue
2287,GTEX-Y3IK-0426-SM-4WWE2,GTEX,12.31,Normal Tissue,Pancreas,GTEX: Normal Tissue
2290,GTEX-U3ZH-1526-SM-4DXV1,GTEX,11.62,Normal Tissue,Testis,GTEX: Normal Tissue
2291,GTEX-PWOO-2026-SM-48TDE,GTEX,12.2,Normal Tissue,Vagina,GTEX: Normal Tissue
2292,GTEX-ZVT2-0126-SM-5GIDQ,GTEX,13.2,Normal Tissue,Skin,GTEX: Normal Tissue
2293,GTEX-U8XE-0226-SM-4E3J3,GTEX,12.55,Normal Tissue,Skin,GTEX: Normal Tissue
2295,GTEX-13PL7-1726-SM-5J2NX,GTEX,12.24,Normal Tissue,Lung,GTEX: Normal Tissue
2296,GTEX-WRHU-0006-SM-3MJF6,GTEX,9.878,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2299,GTEX-ZP4G-1926-SM-57WDZ,GTEX,13.49,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
2303,GTEX-13FHP-0726-SM-5K7YI,GTEX,12.49,Normal Tissue,Lung,GTEX: Normal Tissue
2307,GTEX-ZE9C-0726-SM-4WKGA,GTEX,12.56,Normal Tissue,Artery,GTEX: Normal Tissue
2308,GTEX-WY7C-0826-SM-4ONCG,GTEX,11.59,Normal Tissue,Esophagus,GTEX: Normal Tissue
2313,GTEX-OIZH-1626-SM-2HMKI,GTEX,11.59,Normal Tissue,Muscle,GTEX: Normal Tissue
2314,GTEX-OIZG-0926-SM-3LK5Y,GTEX,11.66,Normal Tissue,Esophagus,GTEX: Normal Tissue
2315,GTEX-145ME-0626-SM-5O99Q,GTEX,11.35,Normal Tissue,Esophagus,GTEX: Normal Tissue
2319,GTEX-ZYW4-1226-SM-5E45B,GTEX,11.98,Normal Tissue,Artery,GTEX: Normal Tissue
2320,GTEX-WK11-1026-SM-4OOS8,GTEX,13.66,Normal Tissue,Esophagus,GTEX: Normal Tissue
2324,GTEX-Y8DK-0011-R6A-SM-4V6EG,GTEX,10.52,Normal Tissue,Brain,GTEX: Normal Tissue
2326,GTEX-ZAJG-0226-SM-5HL81,GTEX,9.617,Normal Tissue,Adipose,GTEX: Normal Tissue
2327,GTEX-YEC4-0008-SM-4W1YR,GTEX,10.67,Cell Line,Cells,GTEX: Cell Line
2334,GTEX-1211K-1826-SM-5EGJ2,GTEX,11.01,Normal Tissue,Colon,GTEX: Normal Tissue
2335,GTEX-XK95-0008-SM-4AT5G,GTEX,11.27,Cell Line,Cells,GTEX: Cell Line
2337,GTEX-T6MO-0126-SM-4DM6X,GTEX,9.425,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
2340,GTEX-ZTTD-2826-SM-4YCFA,GTEX,13.38,Normal Tissue,Skin,GTEX: Normal Tissue
2346,GTEX-145LU-1226-SM-5LU9B,GTEX,11.09,Normal Tissue,Adipose,GTEX: Normal Tissue
2350,GTEX-11ZU8-2626-SM-5EQLL,GTEX,13.39,Normal Tissue,Nerve,GTEX: Normal Tissue
2353,GTEX-11ONC-0926-SM-5BC5E,GTEX,12.89,Normal Tissue,Artery,GTEX: Normal Tissue
2354,GTEX-VUSG-0426-SM-3GIKD,GTEX,12.77,Normal Tissue,Thyroid,GTEX: Normal Tissue
2355,GTEX-11O72-0008-SM-5Q5DN,GTEX,11.58,Cell Line,Cells,GTEX: Cell Line
2357,GTEX-WWYW-2726-SM-4MVOP,GTEX,11.11,Normal Tissue,Ovary,GTEX: Normal Tissue
2363,GTEX-X4XX-0011-R1B-SM-3P622,GTEX,10.23,Normal Tissue,Brain,GTEX: Normal Tissue
2371,GTEX-12WSK-0326-SM-5GCOJ,GTEX,8.57,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
2373,GTEX-13JVG-0011-R3b-SM-5LZXF,GTEX,11.14,Normal Tissue,Brain,GTEX: Normal Tissue
2374,GTEX-145MO-2626-SM-5QGPD,GTEX,11.52,Normal Tissue,Colon,GTEX: Normal Tissue
2375,GTEX-VUSG-2726-SM-4KKZJ,GTEX,13.09,Normal Tissue,Nerve,GTEX: Normal Tissue
2381,GTEX-139YR-2426-SM-5J1OB,GTEX,11.18,Normal Tissue,Adipose,GTEX: Normal Tissue
2382,GTEX-11ZTS-0011-R2b-SM-5BC75,GTEX,9.747,Normal Tissue,Brain,GTEX: Normal Tissue
2383,GTEX-11EMC-3326-SM-5P9JH,GTEX,9.897,Normal Tissue,Brain,GTEX: Normal Tissue
2384,GTEX-S3XE-0226-SM-4AD6I,GTEX,12.16,Normal Tissue,Artery,GTEX: Normal Tissue
2385,GTEX-1211K-0426-SM-5FQTP,GTEX,9.73,Normal Tissue,Spleen,GTEX: Normal Tissue
2386,GTEX-R53T-1826-SM-3GIJX,GTEX,10.4,Normal Tissue,Muscle,GTEX: Normal Tissue
2387,GTEX-12WS9-1426-SM-5FQT3,GTEX,11.03,Normal Tissue,Stomach,GTEX: Normal Tissue
2390,GTEX-1212Z-0626-SM-5FQTB,GTEX,11.49,Normal Tissue,Heart,GTEX: Normal Tissue
2392,GTEX-11P7K-1926-SM-5GU6R,GTEX,8.781,Normal Tissue,Muscle,GTEX: Normal Tissue
2393,GTEX-X4EP-1626-SM-4QAS6,GTEX,14.1,Normal Tissue,Esophagus,GTEX: Normal Tissue
2395,GTEX-12WSH-0326-SM-5GCNH,GTEX,10.66,Normal Tissue,Testis,GTEX: Normal Tissue
2397,GTEX-UJHI-0326-SM-4IHJE,GTEX,12.52,Normal Tissue,Artery,GTEX: Normal Tissue
2400,GTEX-14DAQ-1626-SM-5S2R1,GTEX,11.89,Normal Tissue,Esophagus,GTEX: Normal Tissue
2403,GTEX-OHPL-1026-SM-3MJGI,GTEX,12.04,Normal Tissue,Pancreas,GTEX: Normal Tissue
2406,GTEX-PWCY-0726-SM-48TCS,GTEX,13.43,Normal Tissue,Esophagus,GTEX: Normal Tissue
2407,GTEX-13O21-0426-SM-5K7VR,GTEX,12.82,Normal Tissue,Artery,GTEX: Normal Tissue
2410,GTEX-S4Z8-0826-SM-4AD4J,GTEX,11.57,Normal Tissue,Esophagus,GTEX: Normal Tissue
2413,GTEX-13OW6-2926-SM-5KM29,GTEX,8.823,Normal Tissue,Brain,GTEX: Normal Tissue
2419,GTEX-ZC5H-1726-SM-5HL7X,GTEX,12.92,Normal Tissue,Kidney,GTEX: Normal Tissue
2420,GTEX-14H4A-1626-SM-5SI69,GTEX,13.42,Normal Tissue,Esophagus,GTEX: Normal Tissue
2421,GTEX-R53T-0005-SM-3GADK,GTEX,7.305,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2423,GTEX-QMRM-0126-SM-4R1K9,GTEX,9.17,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
2426,GTEX-QV44-1926-SM-2S1RF,GTEX,13.73,Normal Tissue,Skin,GTEX: Normal Tissue
2429,GTEX-W5WG-0826-SM-4RGNE,GTEX,12.0,Normal Tissue,Pancreas,GTEX: Normal Tissue
2433,GTEX-X15G-0926-SM-4PQZE,GTEX,11.59,Normal Tissue,Esophagus,GTEX: Normal Tissue
2439,GTEX-ZF2S-1326-SM-4WWAZ,GTEX,11.44,Normal Tissue,Esophagus,GTEX: Normal Tissue
2445,GTEX-11NSD-0926-SM-5N9DR,GTEX,11.13,Normal Tissue,Breast,GTEX: Normal Tissue
2447,GTEX-13111-1226-SM-5GCNC,GTEX,11.07,Normal Tissue,Stomach,GTEX: Normal Tissue
2448,GTEX-P44H-0726-SM-48TBT,GTEX,12.11,Normal Tissue,Heart,GTEX: Normal Tissue
2449,GTEX-12ZZW-0011-R5a-SM-5DUVN,GTEX,11.26,Normal Tissue,Brain,GTEX: Normal Tissue
2452,GTEX-S7SE-0011-R4A-SM-2XCDB,GTEX,10.12,Normal Tissue,Brain,GTEX: Normal Tissue
2454,GTEX-ZXG5-0011-R10a-SM-57WDD,GTEX,9.204,Normal Tissue,Brain,GTEX: Normal Tissue
2456,GTEX-ZVE2-0426-SM-59HJ7,GTEX,12.59,Normal Tissue,Nerve,GTEX: Normal Tissue
2457,GTEX-1269C-0003-SM-5S2PB,GTEX,7.954,Cell Line,Cells,GTEX: Cell Line
2458,GTEX-11EM3-0126-SM-5985K,GTEX,12.89,Normal Tissue,Thyroid,GTEX: Normal Tissue
2459,GTEX-ZYVF-2326-SM-5E44Z,GTEX,11.82,Normal Tissue,Esophagus,GTEX: Normal Tissue
2461,GTEX-ZPIC-1026-SM-59HKZ,GTEX,12.48,Normal Tissue,Artery,GTEX: Normal Tissue
2463,GTEX-X4LF-0826-SM-4QASC,GTEX,11.8,Normal Tissue,Esophagus,GTEX: Normal Tissue
2467,GTEX-11DXW-0726-SM-5H12J,GTEX,11.15,Normal Tissue,Muscle,GTEX: Normal Tissue
2469,GTEX-Y3I4-0426-SM-4TT29,GTEX,11.61,Normal Tissue,Lung,GTEX: Normal Tissue
2470,GTEX-13N11-0226-SM-5KM3C,GTEX,12.65,Normal Tissue,Pancreas,GTEX: Normal Tissue
2472,GTEX-VJYA-0526-SM-4KL1R,GTEX,9.252,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
2473,GTEX-NFK9-1526-SM-3LK7B,GTEX,12.13,Normal Tissue,Stomach,GTEX: Normal Tissue
2476,GTEX-R55D-0826-SM-48FEA,GTEX,10.04,Normal Tissue,Breast,GTEX: Normal Tissue
2484,GTEX-11EQ9-2126-SM-5PNVW,GTEX,10.06,Normal Tissue,Muscle,GTEX: Normal Tissue
2488,GTEX-S7SF-1826-SM-3K2AD,GTEX,9.13,Normal Tissue,Adipose,GTEX: Normal Tissue
2489,GTEX-117XS-0526-SM-5987Q,GTEX,12.81,Normal Tissue,Thyroid,GTEX: Normal Tissue
2490,GTEX-ZAB4-2226-SM-5HL97,GTEX,11.93,Normal Tissue,Colon,GTEX: Normal Tissue
2491,GTEX-12WSC-2926-SM-5BC5Z,GTEX,7.731,Normal Tissue,Brain,GTEX: Normal Tissue
2492,GTEX-12126-0006-SM-5O9B8,GTEX,10.3,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2495,GTEX-ZUA1-2826-SM-59HLE,GTEX,13.57,Normal Tissue,Prostate,GTEX: Normal Tissue
2496,GTEX-XMK1-1726-SM-4B64Z,GTEX,13.32,Normal Tissue,Colon,GTEX: Normal Tissue
2498,GTEX-13U4I-1326-SM-5KM25,GTEX,11.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
2499,GTEX-12WSA-0011-R7b-SM-5GU5U,GTEX,11.03,Normal Tissue,Brain,GTEX: Normal Tissue
2500,GTEX-QXCU-1126-SM-48FE5,GTEX,10.98,Normal Tissue,Esophagus,GTEX: Normal Tissue
2502,GTEX-WWTW-1326-SM-4MVNT,GTEX,9.844,Normal Tissue,Adipose,GTEX: Normal Tissue
2505,GTEX-11EI6-2426-SM-5PNVS,GTEX,11.72,Normal Tissue,Stomach,GTEX: Normal Tissue
2507,GTEX-13D11-0626-SM-5LZYY,GTEX,11.47,Normal Tissue,Colon,GTEX: Normal Tissue
2509,GTEX-QEG5-0326-SM-2S1PB,GTEX,9.958,Normal Tissue,Adipose,GTEX: Normal Tissue
2513,GTEX-13RTJ-2426-SM-5S2Q2,GTEX,12.75,Normal Tissue,Skin,GTEX: Normal Tissue
2515,GTEX-WQUQ-0426-SM-3MJFU,GTEX,13.78,Normal Tissue,Skin,GTEX: Normal Tissue
2516,GTEX-XUW1-0326-SM-4BOOR,GTEX,12.52,Normal Tissue,Vagina,GTEX: Normal Tissue
2519,GTEX-R55C-1826-SM-3GADI,GTEX,12.38,Normal Tissue,Artery,GTEX: Normal Tissue
2520,GTEX-12ZZX-1926-SM-5EGKC,GTEX,11.99,Normal Tissue,Vagina,GTEX: Normal Tissue
2523,GTEX-ZXG5-2826-SM-5NQ8T,GTEX,13.22,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
2524,GTEX-11ZUS-0011-R8a-SM-5BC73,GTEX,7.379,Normal Tissue,Brain,GTEX: Normal Tissue
2529,GTEX-111VG-0726-SM-5GIDC,GTEX,11.63,Normal Tissue,Lung,GTEX: Normal Tissue
2530,GTEX-ZTTD-2626-SM-57WEX,GTEX,11.52,Normal Tissue,Colon,GTEX: Normal Tissue
2531,GTEX-S4Q7-0126-SM-4AD5P,GTEX,9.191,Normal Tissue,Spleen,GTEX: Normal Tissue
2532,GTEX-Q734-0126-SM-48U1E,GTEX,9.4,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
2533,GTEX-QCQG-1226-SM-48U23,GTEX,12.83,Normal Tissue,Vagina,GTEX: Normal Tissue
2537,GTEX-Q2AG-0526-SM-2S1PW,GTEX,12.31,Normal Tissue,Artery,GTEX: Normal Tissue
2539,GTEX-145MH-1426-SM-5QGPO,GTEX,13.0,Normal Tissue,Nerve,GTEX: Normal Tissue
2542,GTEX-13JVG-0011-R4a-SM-5MR4C,GTEX,11.09,Normal Tissue,Brain,GTEX: Normal Tissue
2544,GTEX-OIZI-0426-SM-2XCEF,GTEX,12.94,Normal Tissue,Nerve,GTEX: Normal Tissue
2545,GTEX-145ME-1926-SM-5SI9S,GTEX,9.01,Normal Tissue,Adipose,GTEX: Normal Tissue
2547,GTEX-T2YK-1326-SM-4DM6S,GTEX,14.27,Normal Tissue,Esophagus,GTEX: Normal Tissue
2549,GTEX-11ZVC-0326-SM-5CVLC,GTEX,12.94,Normal Tissue,Artery,GTEX: Normal Tissue
2550,GTEX-13QBU-0326-SM-5LU3F,GTEX,12.74,Normal Tissue,Artery,GTEX: Normal Tissue
2551,GTEX-11ZUS-0008-SM-5S2UO,GTEX,11.46,Cell Line,Cells,GTEX: Cell Line
2554,GTEX-13N11-2926-SM-5K7VD,GTEX,12.56,Normal Tissue,Artery,GTEX: Normal Tissue
2556,GTEX-X5EB-0008-SM-46MU3,GTEX,11.65,Cell Line,Cells,GTEX: Cell Line
2560,GTEX-W5X1-1426-SM-3GIKH,GTEX,9.446,Normal Tissue,Adipose,GTEX: Normal Tissue
2564,GTEX-WQUQ-0008-SM-4OOT1,GTEX,11.73,Cell Line,Cells,GTEX: Cell Line
2566,GTEX-11DXW-0826-SM-5H118,GTEX,12.97,Normal Tissue,Skin,GTEX: Normal Tissue
2567,GTEX-13FHO-0726-SM-5IJDG,GTEX,11.12,Normal Tissue,Muscle,GTEX: Normal Tissue
2568,GTEX-T6MO-1626-SM-32QOM,GTEX,13.12,Normal Tissue,Skin,GTEX: Normal Tissue
2570,GTEX-11NSD-1626-SM-5986U,GTEX,12.32,Normal Tissue,Colon,GTEX: Normal Tissue
2577,GTEX-11I78-1326-SM-5PNY9,GTEX,11.16,Normal Tissue,Colon,GTEX: Normal Tissue
2578,GTEX-14BMV-0526-SM-5S2NE,GTEX,12.15,Normal Tissue,Artery,GTEX: Normal Tissue
2579,GTEX-ZLFU-1326-SM-4WWET,GTEX,12.63,Normal Tissue,Stomach,GTEX: Normal Tissue
2580,GTEX-OHPJ-1026-SM-2HMLE,GTEX,12.7,Normal Tissue,Lung,GTEX: Normal Tissue
2581,GTEX-UPK5-1226-SM-4IHL8,GTEX,14.03,Normal Tissue,Esophagus,GTEX: Normal Tissue
2586,GTEX-ZTPG-0002-SM-4YCEI,GTEX,8.626,Cell Line,Cells,GTEX: Cell Line
2587,GTEX-1339X-2626-SM-5K7YX,GTEX,11.58,Normal Tissue,Artery,GTEX: Normal Tissue
2592,GTEX-13QBU-1126-SM-5LU44,GTEX,11.68,Normal Tissue,Stomach,GTEX: Normal Tissue
2593,GTEX-UTHO-2726-SM-4JBH9,GTEX,13.07,Normal Tissue,Prostate,GTEX: Normal Tissue
2595,GTEX-X638-0003-SM-47JZ1,GTEX,8.215,Cell Line,Cells,GTEX: Cell Line
2599,GTEX-13U4I-2626-SM-5SI9C,GTEX,11.36,Normal Tissue,Colon,GTEX: Normal Tissue
2600,GTEX-ZE9C-0011-R3a-SM-4WKGT,GTEX,10.03,Normal Tissue,Brain,GTEX: Normal Tissue
2601,GTEX-11VI4-1626-SM-5EQKO,GTEX,11.3,Normal Tissue,Small Intestine,GTEX: Normal Tissue
2603,GTEX-13SLW-2926-SM-5Q5BQ,GTEX,10.24,Normal Tissue,Pituitary,GTEX: Normal Tissue
2609,GTEX-14C38-0726-SM-5SI6M,GTEX,13.18,Normal Tissue,Skin,GTEX: Normal Tissue
2611,GTEX-ZV6S-2026-SM-5NQ8P,GTEX,12.58,Normal Tissue,Artery,GTEX: Normal Tissue
2612,GTEX-13NYS-0011-R3b-SM-5MR41,GTEX,11.28,Normal Tissue,Brain,GTEX: Normal Tissue
2617,GTEX-ZYWO-0526-SM-5E45I,GTEX,13.38,Normal Tissue,Heart,GTEX: Normal Tissue
2626,GTEX-13OW5-0326-SM-5L3HK,GTEX,10.92,Normal Tissue,Muscle,GTEX: Normal Tissue
2634,GTEX-T5JW-0926-SM-4DM5K,GTEX,12.06,Normal Tissue,Stomach,GTEX: Normal Tissue
2635,GTEX-YJ89-0126-SM-4TT3X,GTEX,13.47,Normal Tissue,Skin,GTEX: Normal Tissue
2636,GTEX-ZVZP-2426-SM-59HKJ,GTEX,13.68,Normal Tissue,Skin,GTEX: Normal Tissue
2638,GTEX-T2YK-2226-SM-32QPT,GTEX,11.79,Normal Tissue,Breast,GTEX: Normal Tissue
2641,GTEX-P4PQ-0726-SM-3NMCR,GTEX,11.48,Normal Tissue,Esophagus,GTEX: Normal Tissue
2642,GTEX-13SLW-0126-SM-5SI6C,GTEX,13.82,Normal Tissue,Skin,GTEX: Normal Tissue
2643,GTEX-N7MT-1226-SM-2TC6K,GTEX,9.499,Normal Tissue,Brain,GTEX: Normal Tissue
2644,GTEX-ZDTS-0126-SM-4WAY5,GTEX,13.62,Normal Tissue,Skin,GTEX: Normal Tissue
2646,GTEX-XOTO-2926-SM-4B65G,GTEX,8.465,Normal Tissue,Brain,GTEX: Normal Tissue
2647,GTEX-TML8-0001-SM-3NMAF,GTEX,8.527,Cell Line,Cells,GTEX: Cell Line
2649,GTEX-13OW6-1526-SM-5L3HX,GTEX,12.53,Normal Tissue,Artery,GTEX: Normal Tissue
2651,GTEX-11NSD-1226-SM-5986Q,GTEX,11.64,Normal Tissue,Esophagus,GTEX: Normal Tissue
2652,GTEX-1399U-0008-SM-5S2VE,GTEX,11.08,Cell Line,Cells,GTEX: Cell Line
2654,GTEX-XOT4-0826-SM-4B66Y,GTEX,11.85,Normal Tissue,Adipose,GTEX: Normal Tissue
2658,GTEX-ZYWO-1726-SM-5E44T,GTEX,9.569,Normal Tissue,Adipose,GTEX: Normal Tissue
2660,GTEX-XXEK-1326-SM-4BRV1,GTEX,12.3,Normal Tissue,Thyroid,GTEX: Normal Tissue
2661,GTEX-11ZUS-0726-SM-59886,GTEX,10.76,Normal Tissue,Adipose,GTEX: Normal Tissue
2662,GTEX-13X6K-0011-R4b-SM-5P9HO,GTEX,11.08,Normal Tissue,Brain,GTEX: Normal Tissue
2665,GTEX-PLZ6-0006-SM-33HBZ,GTEX,6.657,Normal Tissue,Whole Blood,GTEX: Normal Tissue
